PIECETAG,bag_g,field_g,field_mass_g,dry_bag_g,dry_mass_g,time_start,time_stop,date,SPCODE,DC.2021,notes
30242A,2.38,29.39,27.01,,,13:21,13:26,8/3/21,LIST2,3,
20145A,2.38,12.44,10.06,,,13:27:15,13:32:15,8/3/21,LIST2,5,"check if big, fully disintegrated -> was big (50cm DBH)"
152539A,2.38,10,7.62,,,13:33:10,13:38:10,8/3/21,LITU,3,check if large DBH and switched XY coordinates -> was big (40cm DBH)
130346A,2.74,20.03,17.29,,,13:38:50,13:43:50,8/3/21,LIST2,3,
150650A,2.38,20.12,17.74,,,13:44,13:49,8/3/21,LITU,3,
41459A,2.38,14.73,12.35,,,14:04:30,14:09:30,8/3/21,LITU,5,check if XY swapped -> YES
42706A,2.38,9.13,6.75,,,14:10:15,14:15:15,8/3/21,LITU,5,
30050A,2.38,9.6,7.22,,,14:16:50,14:21:50,8/3/21,LITU,5,
130003A,2.74,18.37,15.63,,,14:22:40,14:27:40,8/3/21,LIST2,5,
41922B,2.38,30.14,27.76,,,13:03:20,13:08:20,8/4/21,LIST2,5,
60223A,2.38,14.4,12.02,,,13:09:00,13:14:00,8/4/21,LIST2,2,actually went to 13:15:20 or so oops 
134046A,2.38,24.23,21.85,,,13:16:05,13:21:05,8/4/21,LITU,2,"check if ABC pieces, sampled B -> had AB pieces"
90920A,2.38,22.54,20.16,,,13:21:15,13:26:15,8/4/21,LIST2,3,termites!
131163B,2.38,18.67,16.29,,,13:27:00,13:32:00,8/4/21,LIST2,2,
150265A,2.38,30.16,27.78,,,13:32:50,13:37:50,8/4/21,LIST2,2,
101443A,2.38,48.63,46.25,,,13:38:35,13:43:35,8/4/21,LITU,3,