STEMTAG,PIECETAG,QUADNAME,QX.x,QY.x,SPCODE,DC.2014,DC.2017,DC.2021
30050,30050A,315,1.4,0.5,LITU,2,4,5
30154,30154A,325,9,8.5,LITU,3,3,4
30154,30154B,325,9,8.5,LITU,3,4,4
30154,30154C,325,9,8.5,LITU,3,4,4
40511,40511A,417,4.6,4.4,LITU,2,4,4
41135,41135A,468,2.7,4,LITU,2,NA,4
60393,60393A,645,2.9,6,LITU,2,3,3
101443,101443A,1077,6.2,7.9,LITU,1,2,3
150650,150650A,1589,4,0.2,LITU,2,3,3
30606,30606A,3210,8.3,0.4,LITU,3,4,4
41459,41459A,4710,9.7,6.6,LITU,3,NA,5
50898,50898A,5101,7.3,2.2,LITU,3,3,4
132472,132472A,13102,9.5,4.4,LITU,1,4,4
142379,142379A,14910,0.6,4,LITU,2,3,3
10642,10642A,167,4.7,1,LITU,NA,4,4
20175,20175A,229,2.1,1.9,LITU,NA,1,1
40970,40970A,456,3.2,7.7,LITU,NA,1,2
42706,42706A,1247,5.3,4.7,LITU,NA,4,5
50377,50377A,525,4.6,8.7,LITU,NA,1,2
60199,60199A,628,3.5,3.5,LITU,NA,3,3
60470,60470A,636,0.1,7.1,LITU,NA,2,3
81053,81053A,884,6.9,9.7,LITU,NA,3,3
92297,92297B,912,2.6,1.7,LITU,NA,2,3
92297,92297A,912,2.6,1.7,LITU,NA,2,3
100819,100819B,1046,2.3,3.2,LITU,NA,1,2
100819,100819A,1046,2.3,3.2,LITU,NA,1,2
110434,110434A,1139,0.7,0.4,LITU,NA,1,1
110435,110435A,1139,0.7,2,LITU,NA,1,2
131260,131260A,1354,6.9,10,LITU,NA,3,5
132472,132472B,13102,9.5,4.4,LITU,NA,4,5
134046,134046B,1398,0.8,5.2,LITU,NA,4,2
134046,134046A,1398,0.8,5.2,LITU,NA,3,2
142020,142020A,14104,4.4,3.3,LITU,NA,1,2
142388,142388A,14910,9.5,5.6,LITU,NA,1,2
150005,150005A,15101,7.6,5,LITU,NA,2,4
152518,152518A,15710,3.9,4.4,LITU,NA,3,2
152539,152539A,15710,4.3,1.3,LITU,NA,3,3
152539,152539A,15710,4.3,1.3,LITU,NA,NA,3
161410,161410A,1674,6.9,2.9,LITU,NA,3,4
161427,161427A,1674,4.9,9.1,LITU,NA,1,2
161429,161429A,1674,4,9.8,LITU,NA,1,2
151072,151072A,1578,NA,NA,LITU,NA,NA,2
160505,160505A,1685,NA,NA,LITU,NA,NA,1
31564,31564A,3910,NA,NA,LITU,NA,NA,1
10470,10470A,159,6,3.8,LIST2,1,2,3
20145,20145A,226,8.8,4.1,LIST2,1,4,5
20820,20820A,282,6.8,4,LIST2,2,3,3
20820,20820B,282,6.8,4,LIST2,2,3,3
30624,30624A,361,3.9,2.2,LIST2,1,2,3
30624,30624B,361,3.9,2.2,LIST2,1,2,4
80339,80339A,819,0.9,9,LIST2,1,3,4
80528,80528A,828,2.5,4.7,LIST2,2,2,3
90930,90930A,962,0.3,9.9,LIST2,2,4,4
130445,130445A,1321,0.8,8.3,LIST2,3,4,4
130003,130003A,1331,9,0.4,LIST2,2,4,5
141521,141521A,1468,6.5,4,LIST2,2,4,2
142324,142324A,1486,2.6,7.2,LIST2,3,3,4
150056,150056A,1598,9.9,1.2,LIST2,2,3,4
20587,20587A,2510,9.2,7.8,LIST2,2,4,3
60291,60291A,6110,8.4,9.2,LIST2,2,4,4
131333,131333A,13510,5.2,7.9,LIST2,3,4,5
10350,10350A,147,9.1,7.5,LIST2,NA,2,4
10973,10973A,1106,2.5,6,LIST2,NA,2,2
20811,20811A,281,7.3,7.1,LIST2,NA,3,3
30242,30242A,335,2.6,3.8,LIST2,NA,2,3
30438,30438A,351,7,7,LIST2,NA,1,3
31089,31089B,394,0.7,9.2,LIST2,NA,1,4
31089,31089A,394,0.7,9.2,LIST2,NA,1,3
41922,41922B,489,5.6,2.4,LIST2,NA,2,5
41922,41922A,489,5.6,2.4,LIST2,NA,2,3
43741,43741A,121010,7.5,1.9,LIST2,NA,3,3
50750,50750A,5910,5.5,4,LIST2,NA,3,3
50842,50842A,574,NA,NA,LIST2,NA,NA,2
53505,53505A,558,2.1,5.2,LIST2,NA,4,4
53831,53831A,597,9.6,8.7,LIST2,NA,4,4
60116,60116A,623,2.1,1.5,LIST2,NA,1,1
60223,60223A,617,2.9,6.2,LIST2,NA,1,2
70413,70413B,716,7.1,7.4,LIST2,NA,3,4
70413,70413A,716,7.1,7.4,LIST2,NA,3,4
80339,80339B,819,0.9,9,LIST2,NA,4,4
81292,81292A,896,5,1.8,LIST2,NA,2,2
90001,90001A,9101,6.8,0.5,LIST2,NA,2,3
90203,90203A,981,6,9.2,LIST2,NA,3,3
90847,90847A,951,1.9,9.7,LIST2,NA,2,2
90847,90847A,951,1.9,9.7,LIST2,NA,NA,4
90851,90851A,951,6.3,9,LIST2,NA,2,3
90920,90920A,962,4,3.8,LIST2,NA,3,3
100111,100111A,1021,4.5,8.5,LIST2,NA,2,2
102415,102415A,10101,8.4,9,LIST2,NA,2,2
130054,130054A,1332,1.4,2.4,LIST2,NA,1,3
130211,130211A,1313,2,0.4,LIST2,NA,2,4
130346,130346A,1312,4.8,7.8,LIST2,NA,3,3
130346,130346A,1312,4.8,7.8,LIST2,NA,NA,3
130938,130938A,1311,9.7,1.3,LIST2,NA,2,3
131163,131163B,1363,9.5,1.9,LIST2,NA,3,2
131163,131163A,1363,9.5,1.9,LIST2,NA,3,3
141585,141585A,1463,4.5,7.1,LIST2,NA,1,1
142037,142037A,14105,0.5,8.9,LIST2,NA,3,3
142197,142197A,1498,8.2,7.1,LIST2,NA,1,2
142524,142524A,14108,2.8,7.1,LIST2,NA,2,3
150265,150265A,15108,6.8,6.1,LIST2,NA,1,2
162074,162074A,1614,8.7,7.1,LIST2,NA,2,3
10433,10433A,154,NA,NA,LIST2,NA,NA,1
42339,42339A,1223,NA,NA,LIST2,NA,NA,1
150094,150094A,1571,NA,NA,LIST2,NA,NA,2
31496,31496A,3106,NA,NA,LIST2,NA,NA,1
90007,90007A,9101,NA,NA,LIST2,NA,NA,2
112168,112168A,11108,NA,NA,LIST2,NA,NA,4
10225,10225A,136,NA,NA,LIST2,NA,NA,2
20500,20500A,259,NA,NA,LIST2,NA,NA,1
20500,20500B,259,NA,NA,LIST2,NA,NA,1
91588,91588A,935,NA,NA,LIST2,NA,NA,1
91186,91186A,956,NA,NA,LIST2,NA,NA,2
90665,90665A,972,NA,NA,LIST2,NA,NA,2
140877,140877A,1446,NA,NA,LIST2,NA,NA,4
43653,43653A,12108,NA,NA,LIST2,NA,NA,1
151429,151429A,15110,NA,NA,LIST2,NA,NA,1