STEMTAG,PIECETAG,QUADNAME,QX.x,QY.x,SPCODE,DC.2014,DC.2017,DC.2021,DBH,
20145,20145A,226,8.8,4.1,LIST2,1,4,5,,
30050,30050A,315,1.4,0.5,LITU,2,4,5,,
30242,30242A,335,2.6,3.8,LIST2,NA,2,3,,
42706,42706A,1247,5.3,4.7,LITU,NA,4,5,,
130003,130003A,1331,9,0.4,LIST2,2,4,5,,
150650,150650A,1589,4,0.2,LITU,2,3,3,,
41459,41459A,4710,9.7,6.6,LITU,3,NA,5,,
152539,152539A,15710,4.3,1.3,LITU,NA,3,3,,
130346,130346A,1312,4.8,7.8,LIST2,NA,3,3,,
90920,90920A,962,4,3.8,LIST2,NA,3,3,15.4,
101443,101443A,1077,6.2,7.9,LITU,1,2,3,76.7,
41922,41922B,489,5.6,2.4,LIST2,NA,2,5,14.7,log/snag combo
134046,134046A,1398,0.8,5.2,LITU,NA,3,2,86.5,
60223,60223A,617,2.9,6.2,LIST2,NA,1,2,13,
131163,131163B,1363,9.5,1.9,LIST2,NA,3,2,60.2,
150265,150265A,15108,6.8,6.1,LIST2,NA,1,2,33.5,